"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","06-SEP-22","04-SEP-22","17:45:00Z","ASPEN","COLORADO","UNITED STATES","AIRCRAFT LANDED AND STRUCK FOD ON THE RUNWAY DAMAGING LEFT FLAP AND LANDING GEAR, ASPEN, CO.","INCIDENT","DENVER FSDO","N711SX","","","BOMBARDIER","BD-700-1A10","No","MINOR","UNKNOWN","LANDING (LDG)","","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","04-SEP-22","01:42:00Z","STIGLER","OKLAHOMA","UNITED STATES","AIRCRAFT EXPERIENCED ELECTRICAL ISSUE AND MADE A FORCED LANDING AT THE AIRPORT IN THE GRASS, STIGLER, OK.","INCIDENT","WILL ROGERS FSDO","N731EM","","","BEECH","A36","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","02-SEP-22","19:10:00Z","BURLINGTON","WASHINGTON","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, BURLINGTON, WA.","INCIDENT","SEATTLE FSDO","N6188V","","","LAKE","LA-4","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","06-SEP-22","05-SEP-22","18:20:00Z","MEDFORD","OREGON","UNITED STATES","AIRCRAFT ON LANDING, LOST CONTROL AND STRUCK AN AIRPORT SIGN, MEDFORD, OR.","ACCIDENT","PORTLAND FSDO","N2916D","","","CESSNA","170","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","01-SEP-22","23:00:00Z","COLOMA","MICHIGAN","UNITED STATES","AIRCRAFT CRASHED IN A FIELD FOR UNKNOWN REASONS, COLOMA, MI.","INCIDENT","GRAND RAPIDS FSDO","N3171N","","","FLIGHTSTAR","II","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","02-SEP-22","21:00:00Z","CLEARFIELD","PENNSYLVANIA","UNITED STATES","AIRCRAFT DEPARTED, EXPERIENCED ENGINE ISSUE AND CRASHED INTO TREES, CLEARFIELD, PA.","INCIDENT","ALLEGHENY FSDO","N9619H","","","CESSNA","172","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","03-SEP-22","21:11:00Z","UPPER MOUNT BETHEL","PENNSYLVANIA","UNITED STATES","AIRCRAFT STRUCK HIGH TENSION WIRES WHILE LANDING IN A FIELD, UPPER MOUNT BETHEL, PA.","INCIDENT","ALLENTOWN FSDO","N17867","","","SCHWEIZER","SGS 2","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","06-SEP-22","05-SEP-22","17:30:00Z","SHREVEPORT","LOUISIANA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN A FIELD, SHREVEPORT, LA.","INCIDENT","BATON ROUGE FSDO","N22173","","","AERONCA","65-C","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","06-SEP-22","05-SEP-22","19:54:00Z","IVANHOE","NORTH CAROLINA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD AND CAME TO STOP IN A DITCH, IVANHOE, NC.","INCIDENT","GREENSBORO FSDO","N35243","","","CESSNA","177","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","06-SEP-22","04-SEP-22","20:35:00Z","DAUPHIN ISLAND","ALABAMA","UNITED STATES","AIRCRAFT LANDED AND RAN OFF THE END OF THE RUNWAY, DAUPHIN ISLAND, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N64344","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
