"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","15-SEP-25","12-SEP-25","22:05:00Z","SAN JOSE","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, SAN JOSE, CA.","ACCIDENT","SAN JOSE FSDO","N905ET","","","LANCAIR","SUPER ES","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","20:25:00Z","BEDFORD","INDIANA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AFTER EXECUTING A GO-AROUND DUE TO AN UNSTABLE LANDING AND LANDED IN A FIELD, BEDFORD, IN.","ACCIDENT","INDIANAPOLIS FSDO","N36TJ","","","PEGASUS","QUANTUM 15","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","03-SEP-25","17:20:00Z","RENO","NEVADA","UNITED STATES","AIRCRAFT GROUND LOOPED ON LANDING, RENO, NV.","ACCIDENT","RENO FSDO","N4603B","","","CESSNA","180","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","18:10:00Z","PONTIAC","MICHIGAN","UNITED STATES","AIRCRAFT LANDED GEAR UP, PONTIAC, MI.","INCIDENT","EAST MICHIGAN FSDO","N16RM","","","MOONEY","M20R","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"Yes","15-SEP-25","13-SEP-25","20:04:00Z","VICTORVILLE","CALIFORNIA","UNITED STATES","AIRCRAFT VEERED OFF END OF RUNWAY AND GEAR COLLAPSED, VICTORVILLE, CA.","ACCIDENT","RIVERSIDE FSDO","N25WD","","","CESSNA","P210","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","18:45:00Z","NEW CASTLE","VIRGINIA","UNITED STATES","AIRCRAFT MADE AN OFF AIRPORT LANDING IN A FIELD AND STRUCK A TREE, NEW CASTLE, VA.","INCIDENT","RICHMOND FSDO","N68MF","","","JONKER SAILPLANES","JS3","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","14:23:00Z","OMAHA","NEBRASKA","UNITED STATES","AIRCRAFT GROUND LOOPED ON LANDING, OMAHA, NE.","INCIDENT","LINCOLN FSDO","N180BT","","","CESSNA","180","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","14-SEP-25","20:00:00Z","TAZEWELL","TENNESSEE","UNITED STATES","AIRCRAFT STRUCK A DEER ON DEPARTURE, TAZEWELL, TN.","INCIDENT","NASHVILLE FSDO","N310PL","","","CESSNA","310","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","20:30:00Z","WASILLA","ALASKA","UNITED STATES","AIRCRAFT CRASHED IN A SWAMP FOR UNKNOWN REASONS, WASILLA, AK.","INCIDENT","ANCHORAGE FSDO","N343GA","","","MAULE","M5","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","11:37:00Z","WILLISTON","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES ON LANDING AND VEERED OFF RUNWAY INTO A WOODED AREA, WILLISTON, FL.","INCIDENT","TAMPA FSDO","N345WA","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","15:27:00Z","JACKSONVILLE","FLORIDA","UNITED STATES","AIRCRAFT LANDING IN THE GRASS ADJACENT TO THE RUNWAY, LEFT WING STRUCK A CONTROL BOX, JACKSONVILLE, FL.","INCIDENT","ORLANDO FSDO","N393BA","","","LET","L-23","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","00:03:00Z","WAPAKONETA","OHIO","UNITED STATES","AIRCRAFT STRUCK A DEER ON LANDING, WAPAKONETA, OH.","INCIDENT","COLUMBUS FSDO","N420GX","","","PILATUS","PC12","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","16:22:00Z","MILFORD","UTAH","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON A ROAD, MILFORD, UT.","INCIDENT","SALT LAKE CITY FSDO","N491AC","","","CESSNA","T210","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","20:18:00Z","MANASSAS","VIRGINIA","UNITED STATES","AIRCRAFT PERFORMING A TOUCH AND GO AND CLIPPED A RUNWAY LIGHT , MANASSAS, VA.","INCIDENT","WASHINGTON FSDO","N543ND","","","CESSNA","172","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","22:39:00Z","GRENADA","MISSISSIPPI","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING ON A BRIDGE, GRENADA, MS.","INCIDENT","JACKSON FSDO","N911MC","","","CESSNA","210","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","14:25:00Z","PAHOKEE","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF RUNWAY, PAHOKEE, FL.","INCIDENT","SOUTH FLORIDA FSDO","N993MS","","","CIRRUS","SR22T","No","MINOR","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","14-SEP-25","16:57:00Z","FORT LAUDERDALE","FLORIDA","UNITED STATES","AIRCRAFT DEPARTED, EXPERIENCED A ROUGH RUNNING ENGINE ONCE AIRBORNE, ATTEMPTED TO LAND SAME RUNWAY AND ROLLED OFF THE END INTO THE GRASS, FORT LAUDERDALE, FL.","INCIDENT","SOUTH FLORIDA FSDO","N1380T","","","PIPER","PA34","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","08-SEP-25","18:00:00Z","EAGLE","ALASKA","UNITED STATES","AIRCRAFT WING STRUCK SOME BRUSH ON A PRECAUTIONARY LANDING ON A GRAVEL BAR, EAGLE, AK.","INCIDENT","FAIRBANKS FSDO","N1869W","","","PIPER","PA18","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","11-SEP-25","19:00:00Z","CHEHALIS","WASHINGTON","UNITED STATES","AIRCRAFT CRASHED AFTER TAKEOFF FOR UNKNOWN REASONS IN A FIELD, CHEHALIS, WA.","ACCIDENT","SEATTLE FSDO","N311TS","","","EXPERIMENTAL","TEENIE TWO","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","17:58:00Z","VICTORIA","TEXAS","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING AND INCURRED A PROP STRIKE, VICTORIA, TX.","INCIDENT","SAN ANTONIO FSDO","N3021X","","","CESSNA","150","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","14:30:00Z","SPRINGFIELD","MISSOURI","UNITED STATES","AIRCRAFT LANDED IN A FIELD DUE TO ENGINE ISSUES, SPRINGFIELD, MO.","INCIDENT","KANSAS CITY FSDO","N3487K","","","PIPER","J3C-65","No","NONE","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","13-SEP-25","05:01:00Z","LANCASTER","TEXAS","UNITED STATES","AIRCRAFT CRASHED SHORT OF THE RUNWAY DUE TO FUEL STARVATION, LANCASTER, TX.","INCIDENT","NORTH TEXAS FSDO","N7774A","","","CESSNA","172","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","17:58:00Z","SMYRNA","TENNESSEE","UNITED STATES","AIRCRAFT LANDED AND GROUND LOOPED, SMYRNA, TN.","INCIDENT","NASHVILLE FSDO","N9710Q","","","BEECH","A24","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-SEP-25","12-SEP-25","16:50:00Z","GAINESVILLE","GEORGIA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING IN A FIELD, GAINESVILLE, GA.","INCIDENT","ATLANTA FSDO","N11351","","","CESSNA","150","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","15-SEP-25","15:34:00Z","CLEVELAND","OHIO","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, CLEVELAND, OH.","INCIDENT","CLEVELAND FSDO","N756RN","","","CESSNA","TR182","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","15-SEP-25","18:30:00Z","CLEBURNE","TEXAS","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, CLEBURNE, TX.","INCIDENT","NORTH TEXAS FSDO","N977LB","","","PIPER","PA34","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","16-SEP-25","03:32:00Z","TYONEK","ALASKA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, TYONEK, AK.","INCIDENT","ANCHORAGE FSDO","N798AK","","","EXPERIMENTAL","DANCHINI CUB","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","16-SEP-25","02:45:00Z","DECATUR","TEXAS","UNITED STATES","AIRCRAFT LANDED HARD DAMAGING THE SKIDS AND TAIL, DECATUR, TX.","INCIDENT","NORTH TEXAS FSDO","N407WA","","","BELL","407","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","16-SEP-25","02:03:00Z","ABILENE","TEXAS","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, ABILENE, TX.","INCIDENT","LUBBOCK FSDO","N514SG","","","MOONEY","M20R","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","15-SEP-25","19:38:00Z","COLUMBUS","GEORGIA","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY SHORTLY AFTER TAKEOFF DUE TO ENGINE ISSUES, RETURNED TO AIRPORT AND LANDED ON A TAXIWAY, COLUMBUS, GA.","INCIDENT","ATLANTA FSDO","N3876X","","","AERO COMMANDER","100","No","NONE","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-SEP-25","15-SEP-25","17:22:00Z","ST CHARLES","MISSOURI","UNITED STATES","AIRCRAFT MADE CONTACT WITH A POWER LINE AND LANDED, ST CHARLES, MO.","INCIDENT","ST LOUIS FSDO","N258ME","","","CESSNA","182","No","NONE","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-SEP-25","23-SEP-25","21:05:00Z","FALLBROOK","CALIFORNIA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES ON LANDING AND STRUCK AN ENBANKMENT, FALLBROOK, CA.","ACCIDENT","SAN DIEGO FSDO","N766EE","","","CESSNA","182","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-SEP-25","19-SEP-25","05:35:00Z","KUSKOKWIM","ALASKA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES NEAR A RIVER, KUSKOKWIM, AK.","ACCIDENT","ANCHORAGE FSDO","N4743T","","","MAULE","M4","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","24-SEP-25","22-SEP-25","22:00:00Z","HILLTOWN","PENNSYLVANIA","UNITED STATES","AIRCRAFT LANDED SHORT OF THE RUNWAY IN A FIELD FOR UNKNOWN REASONS, HILLTOWN, PA.","INCIDENT","ALLENTOWN FSDO","N10WH","","","SCHLEICHER","ASW-19B","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-SEP-25","23-SEP-25","15:43:00Z","ARECIBO","PURETO RICO","PUERTO RICO","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, ARECIBO, PR.","INCIDENT","SAN JUAN FSDO","N137BC","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","24-SEP-25","23-SEP-25","16:00:00Z","LAKE HAVASU CITY","ARIZONA","UNITED STATES","AIRCRAFT GEAR COLLAPSED ON LANDING, LAKE HAVASU CITY, AZ.","ACCIDENT","SCOTTSDALE FSDO","N462HP","","","PIPER","PA46","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","24-SEP-25","23-SEP-25","00:30:00Z","FAIRBANKS","ALASKA","UNITED STATES","AIRCRAFT DEPARTED FROM A MINING STRIP AND LEFT WING MADE CONTACT WITH A FRONT END LOADER, FAIRBANKS, AK.","INCIDENT","FAIRBANKS FSDO","N976E","","WRIGHT AIR SERVICE","CESSNA","208","No","UNKNOWN","ON DEMAND","TAKEOFF (TOF)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
