"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","12-DEC-22","11-DEC-22","19:50:00Z","DETROIT","MICHIGAN","UNITED STATES","AIRCRAFT LANDED GEAR UP, DETROIT, MI.","INCIDENT","EAST MICHIGAN FSDO","N9899A","","","MOONEY","M20J","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-DEC-22","10-DEC-22","01:55:00Z","DENVER","COLORADO","UNITED STATES","AIRCRAFT ENCOUNTERED SEVERE TURBULENCE INJURYING A FLIGHT ATTENDANT, DENVER, CO.","INCIDENT","DENVER FSDO","N151SY","SKW5270","SKYWEST AIRLINES","EMBRAER","ERJ 170-200 LR","No","NONE","COMMERCIAL","EN ROUTE (ENR)","121","MINOR","No","2","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-DEC-22","15-OCT-22","17:07:00Z","VERO BEACH","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD, VERO BEACH, FL.","INCIDENT","ORLANDO FSDO","N7702B","","","PIPER","PA44","No","UNKNOWN","FAR 141 PILOT SCHOOL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","13-DEC-22","11-DEC-22","14:50:00Z","BRANNOCKSTOWN","CO KILDARE","IRELAND","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, BRANNOCKSTOWN, IRELAND.","ACCIDENT","NEW YORK IFO","N999RL","","","ROBINSON","R44","No","DESTROYED","PERSONAL","UNKNOWN (UNK)","","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-DEC-22","12-DEC-22","21:49:00Z","DALLAS","TEXAS","UNITED STATES","AIRCRAFT CRASHED IN A RESIDENTIAL AREA AND CAUGHT ON FIRE, DALLAS, TX.","ACCIDENT","NORTH TEXAS FSDO","N231GZ","","","MOONEY","M20K","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0"
"No","13-DEC-22","11-DEC-22","19:25:00Z","DENVER","COLORADO","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE, DENVER, CO.","INCIDENT","DENVER FSDO","N305FR","FFT502","FRONTIER AIRLINES","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-DEC-22","12-DEC-22","19:47:00Z","SARASOTA","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND WHILE TAXIING TO RAMP, LEFT ENGINE CAUGHT ON FIRE, SARASOTA, FL.","INCIDENT","TAMPA FSDO","N9WJ","","","CESSNA","340","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-DEC-22","12-DEC-22","19:13:00Z","KNOXVILLE","TENNESSEE","UNITED STATES","AIRCRAFT DURING STARTUP, LOST CONTROL AND STRUCK A SHADE HANGAR DAMAGING WINGS AND PROPELLER, KNOXVILLE, TN.","INCIDENT","NASHVILLE FSDO","N783SF","","","CESSNA","172","No","UNKNOWN","PERSONAL","STANDING (STD)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","13-DEC-22","11:36:00Z","ALEXANDER CITY","ALABAMA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES WHEN DIVERTING TO ALX AFTER REPORTING ENGINE ISSUES, LANDED IN A FIELD AND FLIPPED OVER, ALEXANDER CITY, AL.","ACCIDENT","ALABAMA AND NW FLORIDA FSDO","N74586","","","MOONEY","M20B","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","13-DEC-22","17:10:00Z","WEST PALM BEACH","FLORIDA","UNITED STATES","AIRCRAFT LANDED WITH RIGHT MAIN GEAR RETRACTED AND VEERED OFF RUNWAY INTO THE GRASS, WEST PALM BEACH, FL.","INCIDENT","SOUTH FLORIDA FSDO","N19CB","","","PIPER","PA31","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","13-DEC-22","18:36:00Z","SARASOTA","FLORIDA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING, SARASOTA, FL.","INCIDENT","TAMPA FSDO","N73KP","","","BELLANCA","17-31A","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","12-DEC-22","17:50:00Z","REDDING","CALIFORNIA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING DUE TO A BIRD STRIKE THROUGH THE WINDSHIELD, REDDING, CA.","INCIDENT","SACRAMENTO FSDO","N415RX","","","EUROCOPTER","EC130T-2","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","","1","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","13-DEC-22","16:00:00Z","ROCKINGHAM","NORTH CAROLINA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD SHORT OF THE RUNWAY, ROCKINGHAM, NC.","INCIDENT","CHARLOTTE FSDO","N498DS","","","PIPER","PA38","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","14-DEC-22","13-DEC-22","19:23:00Z","BELLE GLADE","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN A FIELD, BELLE GLADE, FL.","INCIDENT","SOUTH FLORIDA FSDO","N8004U","","","THRUSH AIRCRAFT","S2R-510","No","UNKNOWN","UNKNOWN","UNKNOWN (UNK)","","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-DEC-22","15-DEC-22","14:30:00Z","GULF OF MEXICO","LOUISIANA","UNITED STATES","DURING AN ATTEMPT TO DEPART AN OIL RIG, ONE OF THE SKIDS GOT CAUGHT UNDER THE PERIMETER RAILING, SENDING THE HELICOPTER INTO THE WATER, GULF OF MEXICO, LOUISIANA.","ACCIDENT","BATON ROUGE FSDO","N414RL","","ROTORCRAFT LEASING CO LLC","BELL","206","No","SUBSTANTIAL","COMMERCIAL","TAKEOFF (TOF)","135","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
