"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","01-OCT-21","30-SEP-21","17:00:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, PHOENIX, AZ.","ACCIDENT","SCOTTSDALE FSDO","N74706","","","ROBINSON","R44","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","01-OCT-21","30-SEP-21","16:18:00Z","LIMON","COLORADO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE EMERGENCY LANDING IN A PASTURE, LIMON, CO.","INCIDENT","DENVER FSDO","N5779R","","","MOONEY","M20K","No","MINOR","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-OCT-21","08-OCT-21","17:11:00Z","ATLANTA","GEORGIA","UNITED STATES","AIRCRAFT DEPARTED RUNWAY 21L CLIMBED TO APPROXIMATELY 250 FEET, VEERED LEFT AND CRASHED UNDER UNKNOWN CIRCUMSTANCES, ATLANTA PEACH-TREE DEKALB AIRPORT, GA (PDK)","ACCIDENT","ATLANTA FSDO","N128EE","","","CESSNA","P210N TURBINE","No","DESTROYED","PERSONAL","TAKEOFF (TOF)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0"
"No","12-OCT-21","10-OCT-21","17:36:00Z","CAMARILLO","CALIFORNIA","UNITED STATES","AIRCRAFT LOST CONTROL DURING TAKE OFF VEERING OFF THE RUNWAY AND HITTING A SIGN, CAMARILLO, CA (CMA)","ACCIDENT","LOS ANGELES FSDO","N186JB","","","EXPERIMENTAL","DRAGONFLY MKIIH","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","12-OCT-21","10-OCT-21","18:30:00Z","CORNWALL","NEW YORK","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES 8 MILES SOUTH EAST OF CORNWALL, NY (SWF)","ACCIDENT","ALBANY FSDO","N637HP","","","ROBINSON","R44","No","SUBSTANTIAL","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-OCT-21","12-OCT-21","14:33:00Z","WAUKESHA","WISCONSIN","UNITED STATES","AIRCRAFT WAS THE SUBJECT OF AN ALNOT AND CRASHED UNDER UNKNOWN CIRCUMSTANCES NEAR WAUKESHA, WI","ACCIDENT","MILWAUKEE FSDO","N628RS","","","EXPERIMENTAL","GLASTAR","No","DESTROYED","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","13-OCT-21","12-OCT-21","19:00:00Z","KALISPELL","MONTANA","UNITED STATES","AIRCRAFT RAN OFF RUNWAY 02 DURING LANDING KALISPELL, MT (GPI)","ACCIDENT","HELENA FSDO","N926LL","","","CESSNA","180H","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-OCT-21","12-OCT-21","15:15:00Z","CARBONDALE","ILLINOIS","UNITED STATES","AIRCRAFT EXPERIENCED A TAIL STRIKE ON LANDING SHEARING OFF THE EYEBOLT, CARBONDALE, IL (MDH)","INCIDENT","SPRINGFIELD FSDO","N683H","","SOUTHERN ILLINOIS UNIVERSITY","CESSNA","172S","No","MINOR","INSTRUCTION","LANDING (LDG)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-OCT-21","12-OCT-21","01:10:00Z","GRAND FORKS","NORTH DAKOTA","UNITED STATES","AIRCRAFT STRUCK A BIRD RESULTING IN A SMALL DENT, NEAR GRAND FORKS, ND","INCIDENT","FARGO FSDO","N812ND","","UNIVERSITY OF NORTH DAKOTA","PIPER","PA-28-181","No","MINOR","INSTRUCTION","EN ROUTE (ENR)","91","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-OCT-21","30-SEP-21","17:04:00Z","NASHVILLE","TENNESSEE","UNITED STATES","AIRCRAFT EXPERIENCED A PROP STRIKE DURING TAXI, NASHVILLE, TN (JWN)","INCIDENT","NASHVILLE FSDO","N5189S","","","PIPER","PA-28-180","No","MINOR","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
