"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","10-FEB-23","09-FEB-23","22:46:00Z","TEA","SOUTH DAKOTA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF THE LEFT SIDE OF THE RUNWAY INTO A SNOWBANK RESULTING IN A PROP STRIKE, TEA, SOUTH DAKOTA.","INCIDENT","RAPID CITY FSDO","N917DB","","","PIPER","PA46","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-FEB-23","08-FEB-23","23:32:00Z","SEATTLE","WASHINGTON","UNITED STATES","AIRCRAFT EXPEREINCED A BIRD STRIKE ON NOSE CONE WHILE ON FINAL APPROACH, SEATTLE, WASHINGTON.","INCIDENT","SEATTLE FSDO","N304SY","SKW3892","SKYWEST AIRLINES","EMBRAER","E75L","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","28-JAN-23","18:02:00Z","MIAMI","FLORIDA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING ON A ROAD STRIKING A BUS, MIAMI, FL.","INCIDENT","SOUTH FLORIDA FSDO","N16TH","","","BEECH","A23","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","28-JAN-23","16:30:00Z","ANDREWS","TEXAS","UNITED STATES","AIRCRAFT MADE A HARD LANDING, BOUNCED AND FLIPPED OVER, ANDREWS, TX.","INCIDENT","LUBBOCK FSDO","N28RD","","","VANS","RV3","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","29-JAN-23","00:05:00Z","JACKSONVILLE","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, JACKSONVILLE, FL.","INCIDENT","ORLANDO FSDO","N72MH","","","PIPER","PA28RT","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","29-JAN-23","18:43:00Z","PRESCOTT","ARIZONA","UNITED STATES","AIRCRAFT GROUND LOOPED ON TAKEOFF, PRESCOTT, AZ.","INCIDENT","SCOTTSDALE FSDO","N327L","","","SONEX AIRCRAFT","XENOS","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","27-JAN-23","16:20:00Z","WILLISTON","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED ON A STREET, WILLISTON, FL.","INCIDENT","TAMPA FSDO","N704S","","","EXPERIMENTAL","SONERAI 2-L","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","27-JAN-23","22:15:00Z","WILLIMANTIC","CONNECTICUT","UNITED STATES","AIRCRAFT LANDED AND NOSE GEAR COLLAPSED, WILLIMANTIC, CT.","INCIDENT","BRADLEY FSDO","N4383K","","","RYAN AIRCRAFT","NAVION","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-JAN-23","28-JAN-23","18:10:00Z","CALHOUN","GEORGIA","UNITED STATES","AIRCRAFT LANDED AND CAUGHT ON FIRE, CALHOUN, GA.","INCIDENT","ATLANTA FSDO","N5587Q","","","MOONEY","M20C","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","30-JAN-23","30-JAN-23","03:38:00Z","CLEVELAND","TEXAS","UNITED STATES","AIRCRAFT HIT A TREE AND CRASHED IN A MARSH, CLEVELAND, TX.","INCIDENT","HOUSTON FSDO","N621EW","","","CESSNA","172","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
