"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","07-JUN-23","06-JUN-23","21:46:00Z","RUTHERFORDTON","NORTH CAROLINA","UNITED STATES","AIRCRAFT LANDED GEAR UP, RUTHERFORDTON, NC.","INCIDENT","CHARLOTTE FSDO","N5490A","","","CESSNA","T210","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","01-JUN-23","31-MAY-23","16:50:00Z","DOTHAN","ALABAMA","UNITED STATES","AIRCRAFT LANDED AND STRUCK A RUNWAY SIGN, DOTHAN, AL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N2932L","","","MOONEY","M20F","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","02-JUN-23","31-MAY-23","22:30:00Z","WALNUT RIDGE","ARKANSAS","UNITED STATES","WHILE ATTEMPTING TO DEPART FROM A PRIVATE STRIP, THE AIRCRAFT ENCOUNTERED A DUST DEVIL, LOST LIFT, AND STRUCK A BERM COMING TO REST INVERTED IN A FIELD, WALNUT RIDGE, ARKANSAS.","ACCIDENT","LITTLE ROCK FSDO","N8405K","","","GRUMMAN","G164","No","SUBSTANTIAL","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-23","07-JUN-23","18:30:00Z","BLOOMFIELD","NEBRASKA","UNITED STATES","AIRCRAFT LOST POWER ON DEPARTURE AND MADE AN EMERGENCY LANDING IN A FIELD, BLOOMFIELD, NE.","ACCIDENT","LINCOLN FSDO","N48485","","","GRUMMAN","G-164B","No","SUBSTANTIAL","AERIAL APPLICATION","TAKEOFF (TOF)","137","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-23","07-JUN-23","21:45:00Z","MARYHILL","WASHINGTON","UNITED STATES","AIRCRAFT ENGINE QUIT DURING AERIAL PHOTOGRAPHY FLIGHT AND MADE A FORCED LANDING NEAR A QUARY, MARYHILL, WA.","ACCIDENT","PORTLAND FSDO","N7155F","","","CESSNA","150","No","SUBSTANTIAL","OTHER","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-23","07-JUN-23","19:54:00Z","CHILLICOTHE","MISSOURI","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CLIPPED TREES, POWER LINES AND THERE WAS A POST CRASH FIRE, CHILLICOTHE, MO.","ACCIDENT","KANSAS CITY FSDO","N731UF","","","CESSNA","A188B","No","SUBSTANTIAL","AERIAL APPLICATION","UNKNOWN (UNK)","137","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAY-23","24-MAY-23","21:18:00Z","GRAND ISLE","LOUISIANA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, GRAND ISLE, LA.","ACCIDENT","BATON ROUGE FSDO","N277TZ","","","CESSNA","182","No","SUBSTANTIAL","OTHER","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAY-23","25-MAY-23","11:30:00Z","LIMINGTON","MAINE","UNITED STATES","AIRCRAFT ATTEMPTING TO LAND, ENCOUNTERED A GUST OF WIND CAUSING IT TO HIT A TREE AND HANGAR, LIMINGTON, ME.","ACCIDENT","PORTLAND ME FSDO","N70CE","","","GLIDE AERO","EAGLE II","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-JUN-23","08-JUN-23","00:15:00Z","RUNNELLS","IOWA","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING ON A ROAD, RUNNELLS, IA.","INCIDENT","DES MOINES FSDO","N92HC","","","CESSNA","206","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAY-23","25-MAY-23","16:15:00Z","HOLLYWOOD","FLORIDA","UNITED STATES","AIRCRAFT CRASHED IN A FIELD, HOLLYWOOD, FL.","INCIDENT","SOUTH FLORIDA FSDO","N454AB","","","PIPER","PA25","No","UNKNOWN","BANNER TOW","MANEUVERING (MNV)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAY-23","25-MAY-23","19:45:00Z","SUNNYSIDE","WASHINGTON","UNITED STATES","AIRCRAFT DEPARTING AND THE RIGHT GEAR COLLAPSED, SUNNYSIDE, WA.","INCIDENT","SPOKANE FSDO","N6PK","","","CESSNA","310","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","26-MAY-23","25-MAY-23","22:32:00Z","PELLSTON","MICHIGAN","UNITED STATES","AIRCRAFT LANDED GEAR UP, PELLSTON, MI.","INCIDENT","GRAND RAPIDS FSDO","N92DM","","","PIPER","PA23","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
