"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","15-DEC-21","14-DEC-21","17:00:00Z","CROWLEY","TEXAS","UNITED STATES","AIRCRAFT LOST CONTROL WHILE PRACTICING ON PRIVATE RANCH AND ROLLED ON SIDE DURING LANDING, CROWLEY, TX.","INCIDENT","NORTH TEXAS FSDO","N8827F","","","HUGHES","269A","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","09-DEC-21","08-DEC-21","17:27:00Z","WALSENBURG","COLORADO","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, WALSENBURG, CO.","ACCIDENT","DENVER FSDO","N456MC","","","VANS","RV4","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Yes","09-DEC-21","08-DEC-21","19:32:00Z","ANCHORAGE","ALASKA","UNITED STATES","AIRCRAFT DEPARTED, EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING WITH THE GEAR UP, ANCHORAGE, AK.","INCIDENT","ANCHORAGE FSDO","N28TN","","","DOUGLAS","R4D","No","MINOR","CARGO","TAKEOFF (TOF)","","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-DEC-21","08-DEC-21","22:00:00Z","DELTA","COLORADO","UNITED STATES","AIRCRAFT ON LANDING EXITED DEPARTURE END AND GEAR COLLAPSED, DELTA, CO.","ACCIDENT","SALT LAKE CITY FSDO","N543AS","","","PIPER","PA24","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","09-DEC-21","08-DEC-21","21:45:00Z","CLEWISTON","FLORIDA","UNITED STATES","AIRCRAFT OVERSHOT THE RUNWAY AND WENT INTO A MUDDY GRASS AREA AND NOSED OVER, CLEWISTON, FL.","INCIDENT","SOUTH FLORIDA FSDO","N5130A","","","CESSNA","210","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","16-DEC-21","15-DEC-21","20:44:00Z","FARMINGDALE","NEW YORK","UNITED STATES","AIRCRAFT GEAR COLLAPSED WHILE TAXIING, FARMINGDALE, NY.","ACCIDENT","FARMINGDALE FSDO","N8021R","","","NORTH AMERICAN","AT-6C","No","SUBSTANTIAL","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-DEC-21","15-DEC-21","16:17:00Z","MIAMI","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND GEAR COLLAPSED, MIAMI, FL.","INCIDENT","SOUTH FLORIDA FSDO","N6292N","","","CESSNA","340","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","16-DEC-21","15-DEC-21","21:53:00Z","MURRIETA","CALIFORNIA","UNITED STATES","AIRCRAFT DURING LANDING, NOSE GEAR COLLAPSED AND INCURRED A PROP STRIKE, MURRIETA, CA.","INCIDENT","RIVERSIDE FSDO","N755GA","","","GRUMMAN AMERICAN","GA-7","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0"
"No","23-DEC-21","21-DEC-21","18:00:00Z","LE COURLIS","CHARBUY","FRANCE","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, CHARBUY, FRANCE.","ACCIDENT","LOS ANGELES IFO","N565CK","","","CIRRUS","SR22","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","23-DEC-21","22-DEC-21","23:05:00Z","AUBURN","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES INTO A HOUSE, AUBURN, CA.","ACCIDENT","SACRAMENTO FSDO","N6280F","","","CESSNA","172","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
