"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","07-APR-26","07-APR-26","17:30:00Z","BRIDGEPORT","TEXAS","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY DUE TO AN ELECTRICAL FIRE IN THE CONTROL PANEL, DIVERTED, AND LANDED KXBP AIRPORT WHERE FIRE WAS EXTINGUISHED","INCIDENT","NORTH TEXAS FSDO","N621AA","","","TECNAM","P2010","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-APR-26","07-APR-26","15:15:00Z","WILMINGTON","DELAWARE","UNITED STATES","AIRCRAFT SUBSTAINED DAMAGE TO LANDING GEAR FOR UKNOWN REASONS","INCIDENT","PHILADELPHIA FSDO","N976KC","","","BEECH","BE200","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-APR-26","06-APR-26","23:15:00Z","TACOMA","WASHINGTON","UNITED STATES","AIRCRAFT STRUCK MULTIPLE TAXIWAY LIGHTS WHILE EXITING THE RUNWAY.","INCIDENT","SEATTLE FSDO","N3150","","","SCHLEICHER","ASH 31M","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","08-APR-26","07-APR-26","17:30:00Z","BRIDGEPORT","TEXAS","UNITED STATES","AIRCRAFT DECLARED AN EMERGENCY DUE TO AN ELECTRICAL FIRE IN THE CONTROL PANEL. AIRCRAFT DIVERTED TO KXBP AND FIRE WAS EXTINGUISHED.","INCIDENT","NORTH TEXAS FSDO","N621AA","","","TECNAM","P2010","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","03-APR-26","16:05:00Z","WICHITA","KANSAS","UNITED STATES","AIRCRAFT ENROUTE AND AFT CARGO BECAME UNLATCHED, WICHITA, KS.","ACCIDENT","WICHITA FSDO","N411CV","","","TEXTRON","T206","No","SUBSTANTIAL","UNKNOWN","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","08-APR-26","17:05:00Z","GREAT FALLS","MONTANA","UNITED STATES","AIRCRAFT LANDED AND FLIPPED OVER, GREAT FALLS, MT.","ACCIDENT","HELENA FSDO","N563JA","","","JUST AIRCRAFT","HIGHLANDER","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","08-APR-26","17:33:00Z","PHOENIX","ARIZONA","UNITED STATES","AIRCRAFT MADE AN EMERGENCY LANDING DUE TO ENGINE ISSUES AND FLIPPED OVER, PHOENIX, AZ.","ACCIDENT","SCOTTSDALE FSDO","N4714X","","","CESSNA","150","No","SUBSTANTIAL","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","08-APR-26","21:27:00Z","MARANA","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES","ACCIDENT","SCOTTSDALE FSDO","N4190E","","","PIPER","PA32R","No","DESTROYED","PERSONAL","LANDING (LDG)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","08-APR-26","22:25:00Z","NEW BRAUNFELS","TEXAS","UNITED STATES","AIRCRAFT LANDED HARD AND INCURRED A PROP STRIKE, NEW BRAUNFELS, TX.","INCIDENT","SAN ANTONIO FSDO","N982BT","","","CESSNA","172","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-APR-26","08-APR-26","14:22:00Z","SAVANNAH","TENNESSEE","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND MADE AN EMERGENCY LANDING IN A FIELD, SAVANNAH, TN.","INCIDENT","MEMPHIS FSDO","N1913L","","","BEECH","F33A","No","UNKNOWN","PERSONAL","EN ROUTE (ENR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
