"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","03-JAN-25","02-JAN-25","21:54:00Z","FULLERTON","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES INTO A BUILDING AFTER DEPARTURE, FULLERTON, CA.","ACCIDENT","LONG BEACH FSDO","N8757R","","","VANS","PRX RV10","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","8","11","0","0"
"No","10-JAN-25","08-JAN-25","15:50:00Z","CHICAGO","ILLINOIS","UNITED STATES","AIRCRAFT TAXIING WHEN THEY STRUCK THE TAIL OF UAL219 WHICH WAS HOLDING ON THE TAXIWAY, CHICAGO, IL.","INCIDENT","GREATER CHICAGO FSDO","N988NN","AAL1979","AMERICAN AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","TAXI (TXI)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JAN-25","10-JAN-25","00:02:00Z","NEW YORK","NEW YORK","UNITED STATES","AIRCRAFT UNDER TOW, LEFT WING STRUCK RIGHT WING OF N912AN WHICH WAS PARKED AT THE GATE, NEW YORK, NY.","INCIDENT","NEW YORK FSDO","N962NN","","AMERICAN AIRLINES","BOEING","737","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","03-JAN-25","02-JAN-25","23:00:00Z","PANAMA CITY","FLORIDA","UNITED STATES","AIRCRAFT LANDED GEAR UP, PANAMA CITY, FL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N76FS","","","NORTH AMERICAN","NAVION","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-DEC-24","28-DEC-24","20:07:00Z","PARSONS","KANSAS","UNITED STATES","AIRCRAFT STRUCK POWER LINES ON LANDING AND CRASHED IN A FIELD, PARSONS, KS.","ACCIDENT","WICHITA FSDO","N719KB","","","EXPERIMENTAL","COZY CUB","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","SERIOUS","No","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","30-DEC-24","27-DEC-24","23:25:00Z","FLORENCE","SOUTH CAROLINA","UNITED STATES","AIRCRAFT LANDED GEAR UP, FLORENCE, SC.","ACCIDENT","COLUMBIA FSDO","N458K","","","BEECH","58","No","SUBSTANTIAL","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0"
"No","30-DEC-24","28-DEC-24","04:47:00Z","NEW BRAUNFELS","TEXAS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND CRASHED IN A FIELD, NEW BRAUNFELS, TX.","INCIDENT","SAN ANTONIO FSDO","N5263W","","","PIPER","PA28","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","MINOR","No","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0"
"No","30-DEC-24","28-DEC-24","04:00:00Z","GALLUP","NEW MEXICO","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES AND LANDED IN A FIELD, GALLUP, NM.","ACCIDENT","ALBUQUERQUE FSDO","N5055W","","","CESSNA","T210","No","SUBSTANTIAL","PERSONAL","APPROACH (APR)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","30-DEC-24","29-DEC-24","17:48:00Z","FORT LAUDERDALE","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND DAMAGED THE LANDING GEAR, FORT LAUDERDALE, FL.","INCIDENT","SOUTH FLORIDA FSDO","N27990","AZY3022","AZTEC WORLDWIDE AIRLINES","PIPER","PA31","No","UNKNOWN","ON DEMAND","LANDING (LDG)","135","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JAN-25","08-JAN-25","18:43:00Z","NAIRN","LOUISIANA","UNITED STATES","AIRCRAFT CRASHED ON PRIVATE HELIPAD DUE TO TAIL ROTOR ISSUES, NAIRN, LA.","INCIDENT","BATON ROUGE FSDO","N430JM","","","ROBINSON","R44","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"No","10-JAN-25","08-JAN-25","19:59:00Z","HARVARD","ILLINOIS","UNITED STATES","AIRCRAFT STRUCK A HANGAR DURING TAXI FOR DEPARTURE, HARVARD, IL.","INCIDENT","GREATER CHICAGO FSDO","N1935V","","","CESSNA","182","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-JAN-25","08-JAN-25","23:05:00Z","ATLANTA","GEORGIA","UNITED STATES","AIRCRAFT LANDED AND EXPERIENCED A BLOWN TIRE AND VEERED OFF RUNWAY, ATLANTA, GA.","INCIDENT","ATLANTA FSDO","N9057H","","","CESSNA","172","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","31-DEC-24","28-DEC-24","21:00:00Z","MONTICELLO","IOWA","UNITED STATES","AIRCRAFT STRUCK A DEER ON LANDING, MONTICELLO, IA.","INCIDENT","DES MOINES FSDO","N478SA","","","DIAMOND","DA40","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
