"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK"
"No","09-AUG-22","08-AUG-22","19:35:00Z","DETROIT","MICHIGAN","UNITED STATES","AIRCRAFT STRUCK A BIRD AND POST FLIGHT INSPECTION REVEALED DAMAGE TO RIGHT WING, DETROIT, MI.","INCIDENT","EAST MICHIGAN FSDO","N965AT","DAL1580","DELTA AIRLINES","BOEING","717","No","MINOR","COMMERCIAL","APPROACH (APR)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","109","0","0","0","0","0","0","0","0","0"
"No","09-AUG-22","04-AUG-22","19:00:00Z","BENTON","ARKANSAS","UNITED STATES","AIRCRAFT LANDED AND GEAR COLLAPSED, BENTON, AR.","INCIDENT","LITTLE ROCK FSDO","N5843F","","","CESSNA","210","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-AUG-22","12-JUL-22","20:29:00Z","DENVER","COLORADO","UNITED STATES","AIRCRAFT EXPERIENCED A BRAKE FIRE WHILE AT THE GATE, DENVER, CO.","INCIDENT","DENVER FSDO","N14214","UAL1658","UNITED AIRLINES","BOEING","737","No","MINOR","COMMERCIAL","STANDING (STD)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","163","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","11-AUG-22","14:12:00Z","ARCTIC VILLAGE","ALASKA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, ARCTIC VILLAGE, AK.","ACCIDENT","FAIRBANKS FSDO","N3937M","","","PIPER","PA12","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","17:31:00Z","HANNA CITY","ILLINOIS","UNITED STATES","AIRCRAFT EXPERIENCED ENGINE ISSUES, ATTEMPTED EMERGENCY LANDING ON A HIGHWAY STRIKING POWERLINES, HANNACITY, IL.","ACCIDENT","SPRINGFIELD FSDO","N30EV","","","MOONEY","M20K","No","UNKNOWN","PERSONAL","APPROACH (APR)","91","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","23:00:00Z","LAKE POWELL","ARIZONA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES INTO LAKE POWELL, LAKE POWELL, AZ.","ACCIDENT","LAS VEGAS FSDO","N9582M","","","CESSNA","207","No","UNKNOWN","SIGHT SEEING","EN ROUTE (ENR)","136","FATAL","Yes","0","1","0","0","0","0","0","0","0","0","0","1","3","2","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","13:01:00Z","ST PETERSBURG","FLORIDA","UNITED STATES","AIRCRAFT STRUCK A BIRD ON DEPARTURE AND ABORTED TAKEOFF, ST PETERSBURG, FL.","INCIDENT","TAMPA FSDO","N208NV","AAY1089","ALLEGIANT AIR","AIRBUS","A320","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","12-AUG-22","20:02:00Z","BOSTON","MASSACHUSETTS","UNITED STATES","AIRCRAFT WAS BEING PUSHED BACK FROM GATE AND LEFT WINGLET STRUCK HORIZONTAL STABILIZER OF A PARKED AND EMPTY DELTA CRJ9, BOSTON, MA.","INCIDENT","BOSTON FSDO","N723TW","DA;458","DELTA AIRLINES","BOEING","757","No","UNKNOWN","COMMERCIAL","PUSHBACK/TOWING (PBT)","121","NONE","No","2","0","0","0","0","4","0","0","0","0","169","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","13:50:00Z","APPLETON","WISCONSIN","UNITED STATES","AIRCRAFT STRUCK A BIRD ON TAKEOFF, APPLETON, WI.","INCIDENT","MILWAUKEE FSDO","N963AT","DAL2749","DELTA AIRLINES","BOEING","717","No","UNKNOWN","COMMERCIAL","TAKEOFF (TOF)","121","NONE","No","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","14-AUG-22","19:35:00Z","DES MOINES","IOWA","UNITED STATES","AIRCRAFT STRUCK TAXIWAY LIGHTS TURNING OFF RUNWAY, DES MOINES, IA.","INCIDENT","DES MOINES FSDO","N31RR","","","EXPERIMENTAL","CHRISTEN EAGLE II","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","18:11:00Z","SEARSMONT","MAINE","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES ON THE RUNWAY, SEARSMONT, ME.","INCIDENT","PORTLAND ME FSDO","N35WT","","","EXPERIMENTAL","THOMAS' FLYER","No","UNKNOWN","PERSONAL","TAKEOFF (TOF)","91","UNKNOWN","No","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","15-AUG-22","01:15:00Z","DENTON","TEXAS","UNITED STATES","AIRCRAFT LOST CONTROL ON LANDING AND GROUND LOOPED INTO THE GRASS, DENTON, TX.","INCIDENT","NORTH TEXAS FSDO","N121CG","","","EXPERIMENTAL","SKIBY Q200","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","14:40:00Z","HOUSTON","TEXAS","UNITED STATES","AIRCRAFT LOST CONTROL ON LANDING, VEERED OFF RUNWAY INTO THE GRASS AND BECAME STUCK IN THE MUD, HOUSTON, TX.","INCIDENT","HOUSTON FSDO","N252TM","","","MOONEY","M20K","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","21:50:00Z","LITTLE ROCK","ARKANSAS","UNITED STATES","AIRCRAFT RIGHT WHEEL CAUGHT ON FIRE DURING LANDING, LITTLEROCK, AR.","INCIDENT","LITTLE ROCK FSDO","N313GL","","","CESSNA","525","No","MINOR","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","14:40:00Z","CAMARILLO","CALIFORNIA","UNITED STATES","AIRCRAFT NOSE GEAR COLLAPSED ON LANDING, CAMARILLO, CA.","INCIDENT","VAN NUYS FSDO","N575SW","","","CESSNA","414","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","19:48:00Z","CORONA","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES, CORONA, CA.","INCIDENT","RIVERSIDE FSDO","N532KB","","","EXPERIMENTAL","BENSEN B-8M","No","UNKNOWN","PERSONAL","UNKNOWN (UNK)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","12-AUG-22","20:00:00Z","BELLINGHAM","WASHINGTON","UNITED STATES","AIRCRAFT LEFT WING STRUCK HANGAR DURING TAXI, BELLINGHAM, WA.","INCIDENT","SEATTLE FSDO","N646LA","","","DIAMOND","DA62","No","UNKNOWN","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","15-AUG-22","13-AUG-22","14:06:00Z","COLORADO SPRINGS","COLORADO","UNITED STATES","AIRCRAFT DURING TAXI FOR DEPARTURE, WINDSCREEN WAS BROKEN BY UNSEEN OBJECT, COLORADO SPRINGS, CO.","INCIDENT","DENVER FSDO","N886DM","","","CESSNA","421","No","MINOR","PERSONAL","TAXI (TXI)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
