"UPDATED","ENTRY_DATE","EVENT_LCL_DATE","EVENT_LCL_TIME","LOC_CITY_NAME","LOC_STATE_NAME","LOC_CNTRY_NAME","RMK_TEXT","EVENT_TYPE_DESC","FSDO_DESC","REGIST_NBR","FLT_NBR","ACFT_OPRTR","ACFT_MAKE_NAME","ACFT_MODEL_NAME","ACFT_MISSING_FLAG","ACFT_DMG_DESC","FLT_ACTIVITY","FLT_PHASE","FAR_PART","MAX_INJ_LVL","FATAL_FLAG","FLT_CRW_INJ_NONE","FLT_CRW_INJ_MINOR","FLT_CRW_INJ_SERIOUS","FLT_CRW_INJ_FATAL","FLT_CRW_INJ_UNK","CBN_CRW_INJ_NONE","CBN_CRW_INJ_MINOR","CBN_CRW_INJ_SERIOUS","CBN_CRW_INJ_FATAL","CBN_CRW_INJ_UNK","PAX_INJ_NONE","PAX_INJ_MINOR","PAX_INJ_SERIOUS","PAX_INJ_FATAL","PAX_INJ_UNK","GRND_INJ_NONE","GRND_INJ_MINOR","GRND_INJ_SERIOUS","GRND_INJ_FATAL","GRND_INJ_UNK","Unk inj none","Unk inj minor","Unk inj serious","Unk inj fatal","Unk inj unk"
"No","09-MAR-26","07-MAR-26","17:00:00Z","TAVARES","FLORIDA","UNITED STATES","AIRCRAFT EXPERIENCED A HARD LANDING ON THE WATERWAY, TAVARES, FL.","INCIDENT","ORLANDO FSDO","N8285A","","","CESSNA","170","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAR-26","08-MAR-26","19:57:00Z","TULSA","OKLAHOMA","UNITED STATES","AIRCRAFT DEPARTED AND LEFT MAIN WHEEL HUB SEPARATED, TULSA, OK.","INCIDENT","WILL ROGERS FSDO","N7692E","","","CHAMPION","7FC","No","MINOR","PERSONAL","TAKEOFF (TOF)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","09-MAR-26","07-MAR-26","18:10:00Z","MARANA","ARIZONA","UNITED STATES","AIRCRAFT LANDED GEAR UP, MARANA, AZ.","INCIDENT","SCOTTSDALE FSDO","N8924M","","","BEECH","S35","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","19:52:00Z","MOJAVE","CALIFORNIA","UNITED STATES","AIRCRAFT CRASHED UNDER UNKNOWN CIRCUMSTANCES WHILE CONDUCTING POWER LINE WORK, MOJAVE, CA.","ACCIDENT","LAS VEGAS FSDO","N530XX","","","MD HELICOPTERS","369","No","SUBSTANTIAL","OTHER","MANEUVERING (MNV)","133","FATAL","Yes","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","14:15:00Z","HYANNIS","MASSACHUSETTS","UNITED STATES","AIRCRAFT SUSTAINED RIGHT WING DAMAGE AFTER STRIKING UNOCCUPIED N325FX LEFT WINGLET, HYANNIS, MA.","INCIDENT","BOSTON FSDO","N57RF","","","DEHAVILLAND","DHC-6-300","No","UNKNOWN","PUBLIC USE","TAXI (TXI)","","NONE","No","1","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","18:15:00Z","EVANSVILLE","INDIANA","UNITED STATES","AIRCRAFT LEFT WING STRUCK THE RUNWAY WHILE DOING PATTERN WORK, EVANSVILLE, IN.","INCIDENT","INDIANAPOLIS FSDO","N287P","","","PIPER","PA28","No","MINOR","INSTRUCTION","MANEUVERING (MNV)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","19:40:00Z","LAKELAND","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND THE WHEEL SEPARATED, LAKELAND, FL.","INCIDENT","ORLANDO FSDO","N5510V","","","PIPER","PA32R","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","22:15:00Z","LAWRENCEVILLE","GEORGIA","UNITED STATES","AIRCRAFT STRUCK A RUNWAY EDGE LIGHT AFTER LANDING, LAWRENCEVILLE, GA.","INCIDENT","ATLANTA FSDO","N9206J","","","PIPER","PA28","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","10-MAR-26","09-MAR-26","15:20:00Z","VERO BEACH","FLORIDA","UNITED STATES","AIRCRAFT LANDED AND VEERED OFF THE RUNWAY INTO THE GRASS, VERO BEACH, FL.","INCIDENT","ORLANDO FSDO","N8254J","","","PIPER","PA28","No","UNKNOWN","INSTRUCTION","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"No","13-MAR-26","26-JUL-25","17:57:00Z","DESTIN","FLORIDA","UNITED STATES","AIRCRAFT LANDED IN THE WATER DUE TO FUEL EXHAUSTION AND CAUSED UNSPECIFIED DAMAGE, DESTIN, FL.","INCIDENT","ALABAMA AND NW FLORIDA FSDO","N594BA","","","ICON AIRCRAFT","A5","No","UNKNOWN","PERSONAL","LANDING (LDG)","91","NONE","No","1","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
